BROKERTITLE;TYPE;PRICE;BEDS;BATH;PROPERTYSQFT;ADDRESS;STATE;MAIN_ADDRESS;ADMINISTRATIVE_AREA_LEVEL_2;LOCALITY;SUBLOCALITY;STREET_NAME;LONG_NAME;FORMATTED_ADDRESS;LATITUDE;LONGITUDE
Brokered by Excell Choice Realty;House for sale;1649000;8;3.0;2184.207862;119 Fenimore St;Brooklyn, NY 11225;119 Fenimore StBrooklyn, NY 11225;United States;New York;Kings County;Brooklyn;Fenimore Street;119 Fenimore St, Brooklyn, NY 11225, USA;40.658346;-73.9583816
Brokered by Corcoran Chelsea/Flatiron;Condo for sale;2800000;2;2.0;1412.0;230 W 56th St Apt 62B;New York, NY 10019;230 W 56th St Apt 62BNew York, NY 10019;New York County;New York;Manhattan;West 56th Street;Random House Tower;Random House Tower, 230 W 56th St APT 62B, New York, NY 10019, USA;40.7652485;-73.9824857
Brokered by Homedax Real Estate Llc;Co-op for sale;449000;2;1.0;2184.207862;123 E 88th St Apt 1A;New York, NY 10128;123 E 88th St Apt 1ANew York, NY 10128;New York;New York County;New York;Manhattan;123;123 E 88th St #1a, New York, NY 10128, USA;40.7810674;-73.954925
Brokered by Utopia Real Estate;Co-op for sale;294500;1;1.0;2184.207862;35-45 81 St Unit C1;Jackson Heights, NY 11372;35-45 81 St Unit C1Jackson Heights, NY 11372;New York;Queens County;Queens;Jackson Heights;35-45;35-45 81st St c1, Jackson Heights, NY 11372, USA;40.7505078;-73.8851355
Brokered by Voro Llc;Multi-family home for sale;990000;8;4.0;3120.0;842 Bryant Ave;Bronx, NY 10474;842 Bryant AveBronx, NY 10474;United States;New York;Bronx County;The Bronx;Bryant Avenue;842 Bryant Ave, Bronx, NY 10474, USA;40.8182411;-73.8863072
Brokered by Top Choice Realty LLC;House for sale;314000;2;1.0;847.0;18 Richmond Ct;Staten Island, NY 10303;18 Richmond CtStaten Island, NY 10303;United States;New York;Richmond County;Staten Island;Richmond Court;18 Richmond Ct, Staten Island, NY 10303, USA;40.6396832;-74.1652748
Brokered by Homedax Real Estate Llc;Co-op for sale;449000;2;1.0;2184.207862;123 E 88th St Apt 1A;New York, NY 10128;123 E 88th St Apt 1ANew York, NY 10128;New York;New York County;New York;Manhattan;123;123 E 88th St #1a, New York, NY 10128, USA;40.7810674;-73.954925
Brokered by East Coast REALTORS Inc;Multi-family home for sale;1598000;7;2.3738608579684373;2184.207862;61-17 170th St;Fresh Meadows, NY 11365;61-17 170th StFresh Meadows, NY 11365;United States;New York;Queens County;Queens;170th Street;61-17 170th St, Flushing, NY 11365, USA;40.7375872;-73.7989142
Brokered by Benjamin Realty Since 1980;Co-op for sale;208000;3;1.0;2184.207862;76-36 113th St Unit 3F;Forest Hills, NY 11375;76-36 113th St Unit 3FForest Hills, NY 11375;New York;Queens County;Queens;Forest Hills;76-36;76-36 113th St #3f, Forest Hills, NY 11375, USA;40.7170693;-73.8332429
Brokered by Keller Williams Realty NYC Grp;Co-op for sale;169900;2;1.0;900.0;1430 Thieriot Ave Apt 5K;Bronx, NY 10460;1430 Thieriot Ave Apt 5KBronx, NY 10460;New York;Bronx County;The Bronx;East Bronx;1430;1430 Thieriot Ave #5k, Bronx, NY 10460, USA;40.8363523;-73.865036
Brokered by RE/MAX City Square;Co-op for sale;235000;1;1.0;2184.207862;65-38 Booth St Unit 6H;Rego Park, NY 11374;65-38 Booth St Unit 6HRego Park, NY 11374;New York;Queens County;Queens;Rego Park;65-38;65-38 Booth St #6h, Rego Park, NY 11374, USA;40.7267837;-73.8587799
NoBroker;Co-op for sale;278000;1;1.0;2184.207862;125-10 Queens Blvd Unit 2302;Kew Gardens, NY 11415;125-10 Queens Blvd Unit 2302Kew Gardens, NY 11415;New York;Queens County;The Bronx;Kew Gardens;125;125 Queens Blvd # 10, Bronx, NY 10452, USA;40.7119297;-73.826361
Brokered by COMPASS;Townhouse for sale;998000;6;2.3738608579684373;2236.0;690 Vermont St;Brooklyn, NY 11207;690 Vermont StBrooklyn, NY 11207;United States;New York;Kings County;Brooklyn;Vermont Street;690 Vermont St, Brooklyn, NY 11207, USA;40.6623484;-73.8914648
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage;Co-op for sale;6400000;3;4.0;2184.207862;14 E 75th St # 4A;New York, NY 10021;14 E 75th St # 4ANew York, NY 10021;New York;New York County;New York;Manhattan;14;14 E 75th St #4a, New York, NY 10021, USA;40.7737635;-73.9644574
Brokered by Luxdeal Realty Llc;Co-op for sale;385000;2;1.0;920.0;97-40 62nd Dr Unit 3H;Rego Park, NY 11374;97-40 62nd Dr Unit 3HRego Park, NY 11374;New York;Queens County;Queens;Rego Park;97-40;97-40 62nd Dr #3h, Rego Park, NY 11374, USA;40.7325379;-73.8601516
Brokered by KELLER WILLIAMS REALTY EMPIRE;Co-op for sale;250000;1;1.0;750.0;2241 Plumb 1st St Apt 1N;Brooklyn, NY 11229;2241 Plumb 1st St Apt 1NBrooklyn, NY 11229;New York;Kings County;Brooklyn;Gerritsen Beach;2241;2241 Plumb 1st St Apt 1l, Brooklyn, NY 11229, USA;40.5986758;-73.9325474
Brokered by Exp Realty;Multi-family home for sale;1849000;6;3.0;2184.207862;212-15 35th Ave;Bayside, NY 11361;212-15 35th AveBayside, NY 11361;United States;New York;Queens County;Queens;35th Avenue;212-15 35th Ave, Flushing, NY 11361, USA;40.7688965;-73.7752498
Brokered by Nardin Elite Associates Inc;House for sale;449500;3;2.0;2184.207862;266 Soundview Ave;Bronx, NY 10473;266 Soundview AveBronx, NY 10473;United States;New York;Bronx County;The Bronx;Soundview Avenue;266 Soundview Ave, Bronx, NY 10473, USA;40.8112605;-73.855529
Brokered by B Square Realty;Multi-family home for sale;1250000;5;2.0;2184.207862;86-08 57th Ave;Elmhurst, NY 11373;86-08 57th AveElmhurst, NY 11373;United States;New York;Queens County;Queens;57th Avenue;86-08 57th Ave, Queens, NY 11373, USA;40.7324444;-73.8760359
Brokered by Coldwell Banker Reliable;House for sale;1099000;7;3.0;2322.0;188 Conklin Ave;Brooklyn, NY 11236;188 Conklin AveBrooklyn, NY 11236;United States;New York;Kings County;Brooklyn;Conklin Avenue;188 Conklin Ave, Brooklyn, NY 11236, USA;40.6438485;-73.9016506
Brokered by L ROSE REALTY INC;House for sale;1900000;4;2.0;1400.0;13739 75th Rd;Flushing, NY 11367;13739 75th RdFlushing, NY 11367;United States;New York;Queens County;Queens;75th Road;137-39 75th Rd, Flushing, NY 11367, USA;40.7230171;-73.8231693
Brokered by Douglas Elliman - 575 Madison Ave;Condo for sale;2500000;2;2.0;1250.0;350 W 42nd St Ph D;New York, NY 10036;350 W 42nd St Ph DNew York, NY 10036;United States;New York;New York County;New York;West 42nd Street;350 W 42nd St, New York, NY 10036, USA;40.7578531;-73.9923304
Brokered by Century Homes Realty Group LLC;House for sale;1288000;3;3.0;1696.0;9-22 119th St;College Point, NY 11356;9-22 119th StCollege Point, NY 11356;United States;New York;Queens County;Queens;119th Street;9-22 119th St, Flushing, NY 11356, USA;40.788704;-73.84908
Brokered by Corcoran East Side;Co-op for sale;1150000;1;1.0;2184.207862;50 Central Park W Apt 10D;New York, NY 10023;50 Central Park W Apt 10DNew York, NY 10023;New York;New York County;New York;Manhattan;50;50 Central Park W #10d, New York, NY 10023, USA;40.7717316;-73.9797209
Brokered by Charles Rutenberg Realty Inc;Condo for sale;825000;3;2.0;2184.207862;63-14 Queens Blvd Unit 3L;Woodside, NY 11377;63-14 Queens Blvd Unit 3LWoodside, NY 11377;New York;Queens County;Queens;Flushing;6314;6314 Queens Blvd STE 3E, Flushing, NY 11377, USA;40.7407971;-73.9021337
Brokered by Corcoran Park Slope;Townhouse for sale;4195000;5;4.0;2184.207862;445 Waverly Ave;Brooklyn, NY 11238;445 Waverly AveBrooklyn, NY 11238;United States;New York;Kings County;Brooklyn;Waverly Avenue;445 Waverly Ave, Brooklyn, NY 11238, USA;40.6847934;-73.965911
Brokered by RE MAX Edge;Pending;675000;3;2.0;1444.0;46 Coddington Ave;Staten Island, NY 10306;46 Coddington AveStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Coddington Avenue;46 Coddington Ave, Staten Island, NY 10306, USA;40.5712145;-74.1132944
Brokered by Douglas Elliman - 575 Madison Ave;Condo for sale;875000;2;1.0;922.0;1437 Hancock St # B;Brooklyn, NY 11237;1437 Hancock St # BBrooklyn, NY 11237;United States;New York;Kings County;Brooklyn;Hancock Street;1437 Hancock St, Brooklyn, NY 11237, USA;40.6965975;-73.9071739
Brokered by Douglas Elliman - 936 Broadway;Co-op for sale;297000;1;1.0;2184.207862;261 Bay 19th St Unit B;Brooklyn, NY 11214;261 Bay 19th St Unit BBrooklyn, NY 11214;United States;New York;Kings County;Brooklyn;Bay 19th Street;261 Bay 19th St, Brooklyn, NY 11214, USA;40.6013587;-74.0073583
Brokered by P R O Links Realty Inc;Condo for sale;485000;1;1.0;575.0;62-96 Woodhaven Blvd Unit 5R;Rego Park, NY 11374;62-96 Woodhaven Blvd Unit 5RRego Park, NY 11374;New York;Queens County;Queens;Middle Village;62-96;62-96 Woodhaven Blvd #5f, Middle Village, NY 11379, USA;40.7245332;-73.8696876
Brokered by Re/Max In The City;Co-op for sale;230000;2;1.0;800.0;6200 Riverdale Ave Apt 4H;Bronx, NY 10471;6200 Riverdale Ave Apt 4HBronx, NY 10471;New York;Bronx County;The Bronx;North Riverdale;6200;6200 Riverdale Ave #4h, Bronx, NY 10471, USA;40.9117719;-73.9024392
Brokered by Budget Real Estate Nyc Inc;House for sale;629000;4;2.0;2184.207862;1281 E 223rd St;Bronx, NY 10466;1281 E 223rd StBronx, NY 10466;United States;New York;Bronx County;The Bronx;East 223rd Street;1281 E 223rd St, Bronx, NY 10466, USA;40.8807198;-73.8445368
Brokered by BEN BAY REALTY, CO.;Pending;625000;3;2.0;1040.0;108 Howton Ave;Staten Island, NY 10308;108 Howton AveStaten Island, NY 10308;United States;New York;Richmond County;Staten Island;Howton Avenue;108 Howton Ave, Staten Island, NY 10308, USA;40.557402;-74.148792
Brokered by Charles Rutenberg Realty Inc;Multi-family home for sale;1200000;5;2.0;2184.207862;591 Huguenot Ave;Staten Island, NY 10312;591 Huguenot AveStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Huguenot Avenue;591 Huguenot Ave, Staten Island, NY 10312, USA;40.5404111;-74.1957141
Brokered by Douglas Elliman  -111 Fifth Ave;Townhouse for sale;7550000;5;5.0;2184.207862;48 Charles St;New York, NY 10014;48 Charles StNew York, NY 10014;United States;New York;New York County;New York;Charles Street;48 Charles St, New York, NY 10014, USA;40.7348673;-74.0023636
Brokered by COMPASS;Pending;499000;2;2.0;1358.0;7272 Royce Pl Unit G1-9;Brooklyn, NY 11234;7272 Royce Pl Unit G1-9Brooklyn, NY 11234;New York;Kings County;Brooklyn;Bergen Beach;7272;7272 Royce Pl G1, Brooklyn, NY 11234, USA;40.6248278;-73.909396
Brokered by RE MAX Real Estate Professionals;Pending;485000;3;2.0;1200.0;2652 Cropsey Ave Apt 14H;Brooklyn, NY 11214;2652 Cropsey Ave Apt 14HBrooklyn, NY 11214;United States;New York;Kings County;Brooklyn;2652;2652 Cropsey Ave #14h, Brooklyn, NY 11214, USA;40.5883839;-73.9910376
Brokered by Nest Seekers International, Midtown;Condo for sale;399000;3;2.3738608579684373;2184.207862;30-38 29th St;Queens, NY 11102;30-38 29th StQueens, NY 11102;United States;New York;Queens County;Queens;29th Street;30-38 29th St, Queens, NY 11102, USA;40.7668236;-73.9239725
Brokered by COMPASS;House for sale;14000000;3;2.3738608579684373;23027.0;39 Eldridge St;Manhattan, NY 10002;39 Eldridge StManhattan, NY 10002;United States;New York;New York County;New York;Eldridge Street;39 Eldridge St, New York, NY 10002, USA;40.7157769;-73.99357
Brokered by Chous Realty Group Inc;Co-op for sale;299000;1;1.0;2184.207862;144-44 41st Ave Unit 6A;Flushing, NY 11355;144-44 41st Ave Unit 6AFlushing, NY 11355;New York;Queens County;Queens;Flushing;144-44;144-44 41st Ave #6a, Flushing, NY 11355, USA;40.7607762;-73.8197115
Brokered by Donna Demkowicz R E Corp;Multi-family home for sale;2200000;6;6.0;2184.207862;6402 Fresh Pond Rd;Ridgewood, NY 11385;6402 Fresh Pond RdRidgewood, NY 11385;United States;New York;Queens County;Queens;Fresh Pond Road;6402 Fresh Pond Rd, Ridgewood, NY 11385, USA;40.7101745;-73.8995452
Brokered by Century Homes Realty Group LLC;Condo for sale;465000;2;2.0;708.0;104-21 39th Ave Unit 212D;Corona, NY 11368;104-21 39th Ave Unit 212DCorona, NY 11368;New York;Queens County;Queens;Corona;10421;10421 39th Ave #212D, Corona, NY 11368, USA;40.7511218;-73.8614488
Brokered by KELLER WILLIAMS REALTY LANDMARK II;Co-op for sale;278000;1;1.0;750.0;138-28 68th Dr Unit 1A;Flushing, NY 11367;138-28 68th Dr Unit 1AFlushing, NY 11367;New York;Queens County;Queens;Flushing;138-28;138-28 68th Dr #1a, Flushing, NY 11367, USA;40.7306353;-73.8276823
Brokered by Corcoran Park Slope;Pending;709000;3;3.0;2184.207862;1249 E 87th St;Brooklyn, NY 11236;1249 E 87th StBrooklyn, NY 11236;United States;New York;Kings County;Brooklyn;East 87th Street;1249 E 87th St, Brooklyn, NY 11236, USA;40.6330746;-73.9014669
Brokered by RE MAX 1st Choice;Condo for sale;685000;2;2.0;2184.207862;64-34 Grand Central Pkwy Unit 1B;Forest Hills, NY 11375;64-34 Grand Central Pkwy Unit 1BForest Hills, NY 11375;New York;Queens County;Queens;Forest Hills;64-34;64-34 Grand Central Pkwy #1b, Forest Hills, NY 11375, USA;40.7332174;-73.8448704
Brokered by Corcoran West Side;Co-op for sale;4500000;2;2.0;1800.0;65 Central Park W Apt 12B;New York, NY 10023;65 Central Park W Apt 12BNew York, NY 10023;New York;New York County;New York;Manhattan;65;65 Central Park W #12b, New York, NY 10023, USA;40.7727705;-73.9787651
Brokered by BEN BAY REALTY, CO.;Multi-family home for sale;779000;3;2.0;1540.0;2369 Bragg St;Brooklyn, NY 11229;2369 Bragg StBrooklyn, NY 11229;United States;New York;Kings County;Brooklyn;Bragg Street;2369 Bragg St, Brooklyn, NY 11229, USA;40.5949347;-73.9347766
Brokered by Julia B. Fee Sotheby's International Realty;House for sale;640000;3;2.0;1224.0;944 Duncan St;Bronx, NY 10469;944 Duncan StBronx, NY 10469;United States;New York;Bronx County;The Bronx;Duncan Street;944 Duncan St, Bronx, NY 10469, USA;40.8729069;-73.8596638
Brokered by East Coast REALTORS Inc;Co-op for sale;449000;2;2.0;1200.0;23-45 Bell Blvd Unit 2B;Bayside, NY 11360;23-45 Bell Blvd Unit 2BBayside, NY 11360;New York;Queens County;Queens;Bayside;23-45;23-45 Bell Blvd #2b, Bayside, NY 11360, USA;40.7812626;-73.7745671
Brokered by COMPASS;Co-op for sale;1100000;2;1.0;2184.207862;1209 8th Ave Apt 4R;Brooklyn, NY 11215;1209 8th Ave Apt 4RBrooklyn, NY 11215;New York;Kings County;Brooklyn;Park Slope;1209;1209 8th Ave #4r, Brooklyn, NY 11215, USA;40.6634878;-73.9807302
Brokered by ACKERMAN VLADA;Condo for sale;550000;3;2.3738608579684373;2184.207862;702 Ocean Pkwy Apt 1A;Brooklyn, NY 11230;702 Ocean Pkwy Apt 1ABrooklyn, NY 11230;New York;Kings County;Brooklyn;Kensington;702;702 Ocean Pkwy #1a, Brooklyn, NY 11230, USA;40.6310935;-73.9723541
Brokered by Citywide Deals;Condo for sale;1899000;3;2.0;1900.0;105 Oceana Dr E Ph 1D;Brooklyn, NY 11235;105 Oceana Dr E Ph 1DBrooklyn, NY 11235;New York;Kings County;Brooklyn;Brighton Beach;105;105 Oceana Dr E Ph 1D, Brooklyn, NY 11235, USA;40.5763957;-73.9575654
Brokered by Jadestone Development Realty Llc;House for sale;599900;3;2.0;1204.0;3774 Hylan Blvd;Staten Island, NY 10308;3774 Hylan BlvdStaten Island, NY 10308;United States;New York;Richmond County;Staten Island;Hylan Boulevard;3774 Hylan Blvd, Staten Island, NY 10308, USA;40.5466066;-74.1406837
Brokered by Corcoran East Side;Townhouse for sale;22500000;4;2.3738608579684373;4000.0;22 Bank St;New York, NY 10014;22 Bank StNew York, NY 10014;United States;New York;New York County;New York;Bank Street;22 Bank St, New York, NY 10014, USA;40.7368312;-74.0024003
Brokered by Kaloshi Real Estate Inc;House for sale;739000;2;2.0;1473.0;19 Alton Pl;Brooklyn, NY 11210;19 Alton PlBrooklyn, NY 11210;United States;New York;Kings County;Brooklyn;Alton Place;19 Alton Pl, Brooklyn, NY 11210, USA;40.6241803;-73.9375665
Brokered by Douglas Elliman - 1995 Broadway;Condo for sale;7995000;3;4.0;2184.207862;101 W 67th St Ph 1D;New York, NY 10023;101 W 67th St Ph 1DNew York, NY 10023;New York;New York County;New York;Manhattan;101;101 W 67th St Ph 1D, New York, NY 10023, USA;40.7745073;-73.981428
Brokered by COMPASS;Co-op for sale;1425000;2;2.0;2184.207862;124 Thompson St Unit 23/24;Manhattan, NY 10012;124 Thompson St Unit 23/24Manhattan, NY 10012;New York;New York County;New York;Manhattan;124;124 Thompson St #23, New York, NY 10012, USA;40.7261696;-74.0013901
Brokered by Century Homes Realty Group LLC;Multi-family home for sale;749000;4;2.0;2184.207862;154-12 65th Ave;Flushing, NY 11367;154-12 65th AveFlushing, NY 11367;United States;New York;Queens County;Queens;65th Avenue;154-12 65th Ave, Flushing, NY 11367, USA;40.7369795;-73.8140379
Brokered by Jamie & Connie Real Estate Grp;Condo for sale;548000;1;1.0;950.0;144-85 Roosevelt Ave Unit 5E;Flushing, NY 11354;144-85 Roosevelt Ave Unit 5EFlushing, NY 11354;New York;Queens County;Queens;Flushing;144-85;144-85 Roosevelt Ave #5e, Flushing, NY 11354, USA;40.7626705;-73.8191386
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage;Condo for sale;950000;1;1.0;560.0;323 E 53rd Street Ter Ste B;New York, NY 10022;323 E 53rd Street Ter Ste BNew York, NY 10022;United States;New York;New York County;New York;East 53rd Street;323 E 53rd St, New York, NY 10022, USA;40.7564316;-73.9660912
Brokered by Douglas Elliman - Huntington;Pending;399000;1;1.0;2184.207862;6939A Park Dr E Unit A;Kew Garden Hills, NY 11367;6939A Park Dr E Unit AKew Garden Hills, NY 11367;United States;New York;Queens County;Queens;Park Drive East;6939 Park Dr E, Flushing, NY 11367, USA;40.7231998;-73.8267722
Brokered by Brown Harris Stevens - 445 Park Avenue;Co-op for sale;1460000;2;2.0;2184.207862;1060 Park Avenue Ave Unit 2G;Manhattan, NY 10128;1060 Park Avenue Ave Unit 2GManhattan, NY 10128;New York;New York County;New York;Manhattan;1060;1060 Park Ave #2b, New York, NY 10128, USA;40.7812136;-73.9570373
Brokered by Showcase Realty Inc;Co-op for sale;269000;3;1.0;2184.207862;144-11 Sanford Ave Unit 6L;Flushing, NY 11355;144-11 Sanford Ave Unit 6LFlushing, NY 11355;New York;Queens County;Queens;Flushing;144-11;144-11 Sanford Ave #6c, Flushing, NY 11355, USA;40.7592939;-73.8203855
Brokered by Corcoran East Side;Condo for sale;1695000;1;2.0;1072.0;70 Washington St Ph R;Brooklyn, NY 11201;70 Washington St Ph RBrooklyn, NY 11201;United States;New York;Kings County;Brooklyn;Washington Street;70 Washington St, Brooklyn, NY 11201, USA;40.7020349;-73.9899069
Brokered by COMPASS;Co-op for sale;155000;3;1.0;2184.207862;1275 E 51st St Apt 5Z;Brooklyn, NY 11234;1275 E 51st St Apt 5ZBrooklyn, NY 11234;New York;Kings County;Brooklyn;Flatlands;1275;1275 E 51st St #5c, Brooklyn, NY 11234, USA;40.6299057;-73.9265933
Brokered by Compass Greater NY LLC;Co-op for sale;449000;2;1.0;764.0;261-36 Langston Ave Unit 2ND;Glen Oaks, NY 11004;261-36 Langston Ave Unit 2NDGlen Oaks, NY 11004;New York;Queens County;Queens;Glen Oaks;261-36;261-36 Langston Ave #2, Glen Oaks, NY 11004, USA;40.7526861;-73.7166669
Brokered by Corcoran Park Avenue South;Pending;825000;2;2.0;930.0;41-18 27th St Apt 1A;New York, NY 11101;41-18 27th St Apt 1ANew York, NY 11101;New York;Queens County;Queens;Long Island City;41-18;41-18 27th St #1a, Long Island City, NY 11101, USA;40.7515161;-73.9389442
Brokered by EXIT REALTY TOP PROPERTIES;Multi-family home for sale;938000;5;3.0;1890.0;1838 Brown St;Brooklyn, NY 11229;1838 Brown StBrooklyn, NY 11229;11229;United States;New York;Kings County;Brown Street;1838 Brown St, Brooklyn, NY 11229, USA;40.6065668;-73.9413437
Brokered by Pamela Lee, Realtor;House for sale;690000;2;2.0;1500.0;1060 E 52nd St;Brooklyn, NY 11234;1060 E 52nd StBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;East 52nd Street;1060 E 52nd St, Brooklyn, NY 11234, USA;40.6342245;-73.9268315
Brokered by RE MAX Real Estate Professionals;House for sale;1499000;5;2.3738608579684373;2088.0;1914 Bay Ridge Ave;Brooklyn, NY 11204;1914 Bay Ridge AveBrooklyn, NY 11204;United States;New York;Kings County;Brooklyn;Bay Ridge Avenue;1914 Bay Ridge Ave, Brooklyn, NY 11204, USA;40.6151781;-73.9901308
Brokered by Serhant;Co-op for sale;795000;2;1.0;2184.207862;651 Vanderbilt St Apt 7K;Brooklyn, NY 11218;651 Vanderbilt St Apt 7KBrooklyn, NY 11218;New York;Kings County;Brooklyn;Windsor Terrace;651;651 Vanderbilt St #7k, Brooklyn, NY 11218, USA;40.654461;-73.9744629
Brokered by J. Sikar Realty;Co-op for sale;300000;2;1.0;800.0;2620 Ocean Pkwy Apt 3F;Brooklyn, NY 11235;2620 Ocean Pkwy Apt 3FBrooklyn, NY 11235;New York;Kings County;Brooklyn;Gravesend;2620;2620 Ocean Pkwy #3f, Brooklyn, NY 11235, USA;40.5860215;-73.9668364
Brokered by Corcoran East Side;Condo for sale;1100000;2;2.0;2184.207862;77 W 55th St # 2AK;New York, NY 10019;77 W 55th St # 2AKNew York, NY 10019;New York;New York County;New York;Manhattan;77;77 W 55th St #2a, New York, NY 10019, USA;40.7630485;-73.9776229
Brokered by Douglas Elliman - 575 Madison Ave;Condo for sale;5000000;2;2.0;1780.0;641 Fifth Ave Unit 42H;New York, NY 10022;641 Fifth Ave Unit 42HNew York, NY 10022;New York;New York County;New York;Manhattan;641;641 5th Ave #42B, New York, NY 10022, USA;40.7592091;-73.9760875
Brokered by Douglas Elliman - 3544 Johnson Ave;House for sale;2500000;8;4.0;6425.0;14 Stuyvesant Ave;Brooklyn, NY 11221;14 Stuyvesant AveBrooklyn, NY 11221;United States;New York;Kings County;Brooklyn;Stuyvesant Avenue;14 Stuyvesant Ave, Brooklyn, NY 11221, USA;40.6960918;-73.9349507
Brokered by COMPASS;Condo for sale;425000;1;1.0;603.0;640 Ditmas Ave Apt 29;Brooklyn, NY 11218;640 Ditmas Ave Apt 29Brooklyn, NY 11218;New York;Kings County;Brooklyn;Kensington;640;640 Ditmas Ave APT 29, Brooklyn, NY 11218, USA;40.6360061;-73.971649
Brokered by COMPASS;Co-op for sale;280000;3;1.0;2184.207862;25 Tudor City Pl Apt 2006;Manhattan, NY 10017;25 Tudor City Pl Apt 2006Manhattan, NY 10017;United States;New York;New York County;New York;Tudor City Place;25 Tudor City Pl, New York, NY 10017, USA;40.7486808;-73.9705383
Brokered by RE MAX Edge;House for sale;1149000;3;2.0;1660.0;1714 E 29th St;Brooklyn, NY 11229;1714 E 29th StBrooklyn, NY 11229;United States;New York;Kings County;Brooklyn;East 29th Street;1714 E 29th St, Brooklyn, NY 11229, USA;40.6093215;-73.9448683
Brokered by The Co-op Connection;Co-op for sale;410000;2;2.0;2184.207862;110-55 72nd Rd Unit 309;Forest Hills, NY 11375;110-55 72nd Rd Unit 309Forest Hills, NY 11375;New York;Queens County;Queens;Forest Hills;11055;11055 72nd Rd Apt 309, Forest Hills, NY 11375, USA;40.7203199;-73.84052
Brokered by Sany Realty Group Llc;Co-op for sale;268000;1;1.0;660.0;26-25 141 St Unit 5A;Flushing, NY 11354;26-25 141 St Unit 5AFlushing, NY 11354;New York;Queens County;Queens;Flushing;26-25;26-25 141st St #5a, Flushing, NY 11354, USA;40.7739672;-73.8277862
Brokered by Brown Harris Stevens;Co-op for sale;6000000;4;4.0;2184.207862;480 Park Avenue Ave Unit 18H;Manhattan, NY 10022;480 Park Avenue Ave Unit 18HManhattan, NY 10022;New York;New York County;New York;Manhattan;480;480 Park Ave Apt 18d, New York, NY 10022, USA;40.7625546;-73.9703842
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage;Co-op for sale;4650000;3;3.0;2184.207862;150 Central Park S;New York, NY 10019;150 Central Park SNew York, NY 10019;United States;New York;New York County;New York;Central Park South;150 Central Park S, New York, NY 10019, USA;40.7661258;-73.9779145
Brokered by Corcoran East Side;House for sale;24500000;6;8.0;8400.0;52 E 66th St;New York, NY 10065;52 E 66th StNew York, NY 10065;United States;New York;New York County;New York;East 66th Street;52 E 66th St, New York, NY 10065, USA;40.7675628;-73.967656
Brokered by Jamie & Connie Real Estate Grp;Condo for sale;660000;2;2.0;970.0;82-25 Queens Blvd Unit 4A;Elmhurst, NY 11373;82-25 Queens Blvd Unit 4AElmhurst, NY 11373;New York;Queens County;Queens;Elmhurst;82-25;82-25 Queens Blvd #4a, Elmhurst, NY 11373, USA;40.7376925;-73.8803546
Brokered by Homefinders of SI Inc.;House for sale;465000;2;2.0;1048.0;12 Maple Ter;Staten Island, NY 10306;12 Maple TerStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Maple Terrace;12 Maple Terrace, Staten Island, NY 10306, USA;40.5636372;-74.1009652
Brokered by Nest Seekers International, Midtown;Condo for sale;1175000;2;2.0;1072.0;90 William St Apt 6C;New York, NY 10038;90 William St Apt 6CNew York, NY 10038;New York;New York County;New York;Manhattan;90;90 William St #6c, New York, NY 10038, USA;40.7081041;-74.0074731
Brokered by Ronald Greene, Realtor;Pending;698999;3;2.0;2184.207862;149-47 115th St;South Ozone Park, NY 11420;149-47 115th StSouth Ozone Park, NY 11420;United States;New York;Queens County;Queens;115th Street;149-47 115th St, Jamaica, NY 11420, USA;40.6680173;-73.8253534
Brokered by Corcoran Park Slope;Pending;5250000;4;4.0;2184.207862;18 Fillmore Pl;Brooklyn, NY 11211;18 Fillmore PlBrooklyn, NY 11211;United States;New York;Kings County;Brooklyn;Fillmore Place;18 Fillmore Pl, Brooklyn, NY 11211, USA;40.7140169;-73.9587962
Brokered by Century 21 Realty First;House for sale;1078000;3;2.0;1260.0;5848 150th St;Flushing, NY 11355;5848 150th StFlushing, NY 11355;United States;New York;Queens County;Queens;150th Street;58-48 150th St, Flushing, NY 11355, USA;40.7421583;-73.8191116
Brokered by BEN BAY REALTY CO OF BAY RIDGE, LLC;Co-op for sale;349000;1;1.0;652.0;8301 Ridge Blvd Apt 4D;Brooklyn, NY 11209;8301 Ridge Blvd Apt 4DBrooklyn, NY 11209;New York;Kings County;Brooklyn;Bay Ridge;8301;8301 Ridge Blvd #4d, Brooklyn, NY 11209, USA;40.6259955;-74.0323073
Brokered by Exp Realty;Co-op for sale;269995;1;1.0;2184.207862;61-20 Grand Central Pkwy Unit C102;Forest Hills, NY 11375;61-20 Grand Central Pkwy Unit C102Forest Hills, NY 11375;New York;Queens County;Queens;Forest Hills;61-20;61-20 Grand Central Pkwy #102, Forest Hills, NY 11375, USA;40.7379227;-73.8470718
Brokered by RE MAX Edge;Multi-family home for sale;1590000;7;4.0;1739.0;144 Bay 50th St;Brooklyn, NY 11214;144 Bay 50th StBrooklyn, NY 11214;11214;United States;New York;Kings County;Bay 50th Street;144 Bay 50th St, Brooklyn, NY 11214, USA;40.5859774;-73.9869629
