BROKERTITLE;TYPE;PRICE;BEDS;BATH;PROPERTYSQFT;ADDRESS;STATE;MAIN_ADDRESS;ADMINISTRATIVE_AREA_LEVEL_2;LOCALITY;SUBLOCALITY;STREET_NAME;LONG_NAME;FORMATTED_ADDRESS;LATITUDE;LONGITUDE
Brokered by COMPASS;Condo for sale;799999;3;2.0;1200.0;1412 Bonnie Ln Apt 2;Bayside, NY 11360;1412 Bonnie Ln Apt 2Bayside, NY 11360;New York;Queens County;Queens;Bayside;14-12;14-12 Bonnie Ln #2, Bayside, NY 11360, USA;40.7859137;-73.7868778
Brokered by Sowae Corp;Multi-family home for sale;300000;3;4.0;2184.207862;348 Legion St;Brooklyn, NY 11212;348 Legion StBrooklyn, NY 11212;United States;New York;Kings County;Brooklyn;Legion Street;348 Legion St, Brooklyn, NY 11212, USA;40.6601546;-73.9163716
Brokered by Island Advantage Realty LLC;Foreclosure;750000;4;3.0;3098.0;3037 Richmond Rd;Staten Island, NY 10306;3037 Richmond RdStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Richmond Road;3037 Richmond Rd, Staten Island, NY 10306, USA;40.5758238;-74.1227343
Brokered by Prodigy Real Estate Inc.;House for sale;669999;4;2.0;1196.0;416 Colon Ave;Staten Island, NY 10308;416 Colon AveStaten Island, NY 10308;United States;New York;Richmond County;Staten Island;Colon Avenue;416 Colon Ave, Staten Island, NY 10308, USA;40.5598117;-74.1585168
Brokered by RE MAX Elite;Contingent;575000;2;1.0;1200.0;15 Portland Pl;Staten Island, NY 10301;15 Portland PlStaten Island, NY 10301;United States;New York;Richmond County;Staten Island;Portland Place;15 Portland Pl, Staten Island, NY 10301, USA;40.6337278;-74.0936101
NoBroker;Co-op for sale;299000;3;1.0;2184.207862;2212 Brigham St Apt 3C;Brooklyn, NY 11229;2212 Brigham St Apt 3CBrooklyn, NY 11229;New York;Kings County;Brooklyn;Sheepshead Bay;2212;2212 Brigham St #3c, Brooklyn, NY 11229, USA;40.5987787;-73.9350489
Brokered by American Homes Group;House for sale;548800;3;4.0;1440.0;89 Taft Ave;Staten Island, NY 10301;89 Taft AveStaten Island, NY 10301;United States;New York;Richmond County;Staten Island;Taft Avenue;89 Taft Ave, Staten Island, NY 10301, USA;40.6409456;-74.0859933
Brokered by Peter Ashe Real Estate- Peter Ashe Real Estate;Townhouse for sale;28500000;7;9.0;12300.0;14 E 69th St Unit Townhouse;New York, NY 10021;14 E 69th St Unit TownhouseNew York, NY 10021;United States;New York;New York County;New York;East 69th Street;14 E 69th St, New York, NY 10021, USA;40.7699341;-73.9675072
Brokered by Realty Executives Today;Co-op for sale;259000;2;1.0;2184.207862;84-25 118 St Unit 1B;Kew Gardens, NY 11418;84-25 118 St Unit 1BKew Gardens, NY 11418;New York;Queens County;Queens;Kew Gardens;8425;8425 118th St Apt 1d, Kew Gardens, NY 11415, USA;40.7041499;-73.83371
Brokered by Sbny Re;Co-op for sale;425000;2;1.0;2184.207862;70-25 Yellowstone Blvd Unit 14X;Forest Hills, NY 11375;70-25 Yellowstone Blvd Unit 14XForest Hills, NY 11375;New York;Queens County;Queens;Forest Hills;7025;7025 Yellowstone Blvd Apt 14d, Forest Hills, NY 11375, USA;40.7226099;-73.8495
Brokered by NEXTHOME PLATINUM PROPERTIES;House for sale;950000;4;2.0;2200.0;68 Schenck Ave;Brooklyn, NY 11207;68 Schenck AveBrooklyn, NY 11207;United States;New York;Kings County;Brooklyn;Schenck Avenue;68 Schenck Ave, Brooklyn, NY 11207, USA;40.6795412;-73.8904428
Brokered by Adcny Realty Corp;Co-op for sale;185000;2;1.0;600.0;526 W 158th St Apt 64;New York, NY 10032;526 W 158th St Apt 64New York, NY 10032;New York;New York County;New York;Manhattan;526;526 W 158th St #64, New York, NY 10032, USA;40.833945;-73.9432359
Brokered by Century Homes Realty Group LLC;House for sale;1688888;4;3.0;2364.0;373 Manor Rd;Little Neck, NY 11363;373 Manor RdLittle Neck, NY 11363;United States;New York;Queens County;Queens;Manor Road;373 Manor Rd, Douglaston, NY 11363, USA;40.7773521;-73.7464296
Brokered by Realty Executives Today;Co-op for sale;259000;2;1.0;2184.207862;84-25 118 St Unit 1B;Kew Gardens, NY 11418;84-25 118 St Unit 1BKew Gardens, NY 11418;New York;Queens County;Queens;Kew Gardens;8425;8425 118th St Apt 1d, Kew Gardens, NY 11415, USA;40.7041499;-73.83371
Brokered by NEXTHOME PLATINUM PROPERTIES;House for sale;950000;4;2.0;2200.0;68 Schenck Ave;Brooklyn, NY 11207;68 Schenck AveBrooklyn, NY 11207;United States;New York;Kings County;Brooklyn;Schenck Avenue;68 Schenck Ave, Brooklyn, NY 11207, USA;40.6795412;-73.8904428
Brokered by Century Homes Realty Group LLC;House for sale;1688888;4;3.0;2364.0;373 Manor Rd;Little Neck, NY 11363;373 Manor RdLittle Neck, NY 11363;United States;New York;Queens County;Queens;Manor Road;373 Manor Rd, Douglaston, NY 11363, USA;40.7773521;-73.7464296
Brokered by Elite Synergy Realty Inc;Multi-family home for sale;689000;6;3.0;2184.207862;262 E 197th St;Bronx, NY 10458;262 E 197th StBronx, NY 10458;United States;New York;Bronx County;The Bronx;East 197th Street;262 E 197th St, Bronx, NY 10458, USA;40.8681745;-73.8897652
Brokered by Charles Rutenberg Realty Inc;Co-op for sale;419000;2;1.0;2184.207862;150-58 Jewel Ave Unit 75A;Flushing, NY 11367;150-58 Jewel Ave Unit 75AFlushing, NY 11367;New York;Queens County;Queens;Flushing;15058;15058 Jewel Ave # 75b, Flushing, NY 11367, USA;40.7312799;-73.8192399
Brokered by Bright Horizons Realty Inc;House for sale;1199000;4;2.0;2184.207862;4193 Ocean Ave;Brooklyn, NY 11235;4193 Ocean AveBrooklyn, NY 11235;United States;New York;Kings County;Brooklyn;Ocean Avenue;4193 Ocean Ave, Brooklyn, NY 11235, USA;40.5783044;-73.9471644
Brokered by Bright Horizons Realty Inc;House for sale;2150000;4;2.3738608579684373;2184.207862;153 Jaffrey St;Brooklyn, NY 11235;153 Jaffrey StBrooklyn, NY 11235;United States;New York;Kings County;Brooklyn;Jaffray Street;153 Jaffray St, Brooklyn, NY 11235, USA;40.5790771;-73.9425262
Brokered by Keller Williams Realty Greater Nassau;House for sale;899000;3;4.0;2208.0;82 Mulberry Ave;Staten Island, NY 10314;82 Mulberry AveStaten Island, NY 10314;United States;New York;Richmond County;Staten Island;Mulberry Avenue;82 Mulberry Ave, Staten Island, NY 10314, USA;40.5955552;-74.1677939
Brokered by qvtopservice;House for sale;675000;3;2.0;2184.207862;102-26 213th St;Queens Village, NY 11429;102-26 213th StQueens Village, NY 11429;United States;New York;Queens County;Queens;213th Street;102-26 213th St, Jamaica, NY 11429, USA;40.7121557;-73.7452804
Brokered by BHHS New York Properties;Co-op for sale;875000;2;1.0;2184.207862;20 E 35th St Apt 3D;New York, NY 10016;20 E 35th St Apt 3DNew York, NY 10016;New York;New York County;New York;Manhattan;20;20 E 35th St #3d, New York, NY 10016, USA;40.748098;-73.9824791
Brokered by Corcoran Westside Columbus;House for sale;899000;2;1.0;1130.0;529 W 42nd St Apt 6L;New York, NY 10036;529 W 42nd St Apt 6LNew York, NY 10036;New York;New York County;New York;Manhattan;529;529 W 42nd St #6l, New York, NY 10036, USA;40.7604194;-73.9968086
Brokered by EBMG LLC;Co-op for sale;219000;2;1.0;2184.207862;8377 Woodhaven Blvd Apt 2B;Woodhaven, NY 11421;8377 Woodhaven Blvd Apt 2BWoodhaven, NY 11421;New York;Queens County;Queens;Woodhaven;8377;8377 Woodhaven Blvd Apt 2d, Woodhaven, NY 11421, USA;40.6999899;-73.8539
Brokered by RE/MAX Opulent;Co-op for sale;120000;2;1.0;600.0;2962 Decatur Ave Apt 1C;Bronx, NY 10458;2962 Decatur Ave Apt 1CBronx, NY 10458;New York;Bronx County;The Bronx;West Bronx;2962;2962 Decatur Ave #1c, Bronx, NY 10458, USA;40.8683656;-73.8832093
Brokered by Corcoran;Condo for sale;470000;2;1.0;2184.207862;581 Academy St Apt 1G;New York, NY 10034;581 Academy St Apt 1GNew York, NY 10034;New York;New York County;New York;Manhattan;581;581 Academy St #1g, New York, NY 10034, USA;40.8640024;-73.9231918
Brokered by ERA Insite Realty Services;Co-op for sale;229000;2;1.0;950.0;4315 Webster Ave Apt 3L;Bronx, NY 10470;4315 Webster Ave Apt 3LBronx, NY 10470;New York;Bronx County;The Bronx;East Bronx;4315;4315 Webster Ave #3l, Bronx, NY 10470, USA;40.8995193;-73.8623678
Brokered by Momentum Real Estate Llc;Multi-family home for sale;3000000;3;32.0;11760.0;8001 New Utrecht Ave;Brooklyn, NY 11214;8001 New Utrecht AveBrooklyn, NY 11214;United States;New York;Kings County;Brooklyn;New Utrecht Avenue;8001 New Utrecht Ave, Brooklyn, NY 11214, USA;40.6115483;-74.0008656
Brokered by Douglas Elliman - Bayside;Pending;1199000;5;4.0;2184.207862;116 Audley St;Kew Gardens, NY 11415;116 Audley StKew Gardens, NY 11415;United States;New York;Queens County;Queens;Audley Street;116 Audley St, Kew Gardens, NY 11415, USA;40.7090268;-73.8335998
Brokered by Remax Edge - RE/MAX EDGE;Multi-family home for sale;1498000;9;8.0;2961.0;3812 Cypress Ave;Brooklyn, NY 11224;3812 Cypress AveBrooklyn, NY 11224;United States;New York;Kings County;Brooklyn;Cypress Avenue;3812 Cypress Ave, Brooklyn, NY 11224, USA;40.5784148;-74.0064631
Brokered by Corcoran East Side;Condo for sale;2000000;4;3.0;2000.0;411 E 53rd St # 4HJ;New York, NY 10022;411 E 53rd St # 4HJNew York, NY 10022;New York;New York County;New York;Manhattan;411;411 E 53rd St #4j, New York, NY 10022, USA;40.7557937;-73.9642805
Brokered by Nest Seekers International, Midtown;Condo for sale;50000000;6;6.0;6569.0;100 Vandam St Apt 20A;New York, NY 10013;100 Vandam St Apt 20ANew York, NY 10013;New York;New York County;New York;Manhattan;100;100 Vandam St #20a, New York, NY 10013, USA;40.7266327;-74.0088321
Brokered by Jerry Fink Real Estate Inc;House for sale;550000;3;2.0;2184.207862;156-23 88th St;Howard Beach, NY 11414;156-23 88th StHoward Beach, NY 11414;United States;New York;Queens County;Queens;88th Street;156-23 88th St, Howard Beach, NY 11414, USA;40.6628113;-73.8453503
Brokered by Ditommaso Real Estate;Pending;499000;3;1.0;1176.0;161 Greenleaf Ave;Staten Island, NY 10310;161 Greenleaf AveStaten Island, NY 10310;United States;New York;Richmond County;Staten Island;Greenleaf Avenue;161 Greenleaf Ave, Staten Island, NY 10310, USA;40.6265387;-74.1263932
Brokered by Annkey Realty, Inc.;Multi-family home for sale;800000;6;3.0;2202.0;860 E 232nd St;Bronx, NY 10466;860 E 232nd StBronx, NY 10466;United States;New York;Bronx County;The Bronx;East 232nd Street;860 E 232nd St, Bronx, NY 10466, USA;40.8909806;-73.8528183
Brokered by Century 21 Amiable Realty Group II, Inc.;Co-op for sale;239000;2;1.0;798.0;155-07 86th St Unit 102;Howard Beach, NY 11414;155-07 86th St Unit 102Howard Beach, NY 11414;New York;Queens County;Queens;Howard Beach;15507;15507 86th St # 102, Howard Beach, NY 11414, USA;40.6649999;-73.84857
Brokered by Sotheby's International Realty - Downtown Manhattan;Townhouse for sale;29950000;10;13.0;8750.0;26 Washington Sq N;New York, NY 10011;26 Washington Sq NNew York, NY 10011;United States;New York;New York County;New York;Washington Square West;26 Washington Square W, New York, NY 10011, USA;40.7322213;-73.9986277
Brokered by RE MAX Elite;House for sale;674999;3;2.0;1440.0;107 Salamander Ct;Staten Island, NY 10309;107 Salamander CtStaten Island, NY 10309;United States;New York;Richmond County;Staten Island;Salamander Court;107 Salamander Ct, Staten Island, NY 10309, USA;40.5394128;-74.2228391
Brokered by COMPASS;Townhouse for sale;14000000;5;2.3738608579684373;7200.0;38 Monroe Pl;Brooklyn, NY 11201;38 Monroe PlBrooklyn, NY 11201;United States;New York;Kings County;Brooklyn;Monroe Place;38 Monroe Pl, Brooklyn, NY 11201, USA;40.6958593;-73.9925234
Brokered by Voro Llc;House for sale;1228000;3;2.0;950.0;154-69 26th Ave;Flushing, NY 11354;154-69 26th AveFlushing, NY 11354;United States;New York;Queens County;Queens;26th Avenue;154-69 26th Ave, Flushing, NY 11354, USA;40.7739766;-73.8070988
Brokered by Goldstone N Y Realty Llc;Condo for sale;880000;4;4.0;2400.0;120-10 Ketch Ct Unit 34;College Point, NY 11356;120-10 Ketch Ct Unit 34College Point, NY 11356;United States;New York;Queens County;Queens;Ketch Court;120-10 Ketch Ct, College Point, NY 11356, USA;40.7934553;-73.8471618
Brokered by Keller Williams Rlty Landmark;Co-op for sale;369888;2;2.0;2184.207862;98-120 Queens Blvd Unit 6K;Rego Park, NY 11374;98-120 Queens Blvd Unit 6KRego Park, NY 11374;New York;Queens County;Queens;Rego Park;120;120 Queens Blvd #98, Rego Park, NY 11374, USA;40.726843;-73.85458
Brokered by Douglas Elliman - 575 Madison Ave;Co-op for sale;500000;2;2.0;2184.207862;465 Park Ave Unit 34E;New York, NY 10022;465 Park Ave Unit 34ENew York, NY 10022;New York;New York County;New York;Manhattan;465;465 Park Ave Apt 34e, New York, NY 10022, USA;40.7616461;-73.9701294
Brokered by BKNY TROY AVENUE REALTY CORP;Multi-family home for sale;499000;4;3.0;2184.207862;205-05 Jamaica Ave;Hollis, NY 11423;205-05 Jamaica AveHollis, NY 11423;United States;New York;Queens County;Queens;Jamaica Avenue;205-05 Jamaica Ave, Jamaica, NY 11423, USA;40.713904;-73.754948
Brokered by Keller Williams Rlty Landmark;House for sale;2998888;5;2.3738608579684373;3800.0;28-05 216th St;Bayside, NY 11360;28-05 216th StBayside, NY 11360;United States;New York;Queens County;Queens;216th Street;28-05 216th St, Bayside, NY 11360, USA;40.7782443;-73.7706926
Brokered by Robert E. Hill, Inc.;Co-op for sale;175849;2;1.0;850.0;60 Knolls Cres Apt 8M;Bronx, NY 10463;60 Knolls Cres Apt 8MBronx, NY 10463;New York;Bronx County;The Bronx;Spuyten Duyvil;60;60 Knolls Crescent #8m, Bronx, NY 10463, USA;40.879078;-73.9175196
Brokered by M Holmes Realty Corp.;Multi-family home for sale;499000;3;2.0;1445.0;32 Barker St;Staten Island, NY 10310;32 Barker StStaten Island, NY 10310;10310;United States;New York;Richmond County;Barker Street;32 Barker St, Staten Island, NY 10310, USA;40.6365321;-74.1218622
Brokered by Exp Realty;Multi-family home for sale;899975;6;3.0;1952.0;861 E 231st St;Bronx, NY 10466;861 E 231st StBronx, NY 10466;United States;New York;Bronx County;The Bronx;East 231st Street;861 E 231st St, Bronx, NY 10466, USA;40.8906352;-73.853094
Brokered by Trusted Property Advisors Corp;House for sale;1474000;4;2.0;2050.0;71-28 Manse St;Forest Hills, NY 11375;71-28 Manse StForest Hills, NY 11375;United States;New York;Queens County;Queens;Manse Street;71-28 Manse St, Flushing, NY 11375, USA;40.7114417;-73.8490778
Brokered by Neuhaus Realty, Inc.;House for sale;2750000;6;5.0;6300.0;79 Grandview Ter;Staten Island, NY 10308;79 Grandview TerStaten Island, NY 10308;United States;New York;Richmond County;Staten Island;Grandview Terrace;79 Grandview Terrace, Staten Island, NY 10308, USA;40.5462525;-74.1481727
Brokered by Re/Max Edge;House for sale;3999000;3;2.3738608579684373;3428.0;7923 11th Ave;Brooklyn, NY 11228;7923 11th AveBrooklyn, NY 11228;United States;New York;Kings County;Brooklyn;11th Avenue;7923 11th Ave, Brooklyn, NY 11228, USA;40.6201406;-74.014486
Brokered by EXIT REALTY FIRST CHOICE;House for sale;1288000;4;2.0;1700.0;76-66 174th St;Fresh Meadows, NY 11366;76-66 174th StFresh Meadows, NY 11366;United States;New York;Queens County;Queens;174th Street;76-66 174th St, Flushing, NY 11366, USA;40.7248068;-73.7953763
Brokered by 5 Boro Realty Corp;Foreclosure;499000;4;2.0;1428.0;719 Vermont St;Brooklyn, NY 11207;719 Vermont StBrooklyn, NY 11207;United States;New York;Kings County;Brooklyn;Vermont Street;719 Vermont St, Brooklyn, NY 11207, USA;40.6618245;-73.890638
Brokered by DiTommaso Real Estate;House for sale;989000;4;4.0;2400.0;70 Weed Ave;Staten Island, NY 10306;70 Weed AveStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Weed Avenue;70 Weed Ave, Staten Island, NY 10306, USA;40.5657552;-74.1051158
Brokered by Prospes Real Estate Corp;House for sale;650000;3;2.0;2184.207862;827 Richmond Rd;Staten Island, NY 10304;827 Richmond RdStaten Island, NY 10304;United States;New York;Richmond County;Staten Island;Richmond Road;827 Richmond Rd, Staten Island, NY 10304, USA;40.6071254;-74.0925892
Brokered by Robert DeFalco Realty, Inc.;Contingent;1999999;4;4.0;4803.0;181 Androvette Ave;Staten Island, NY 10312;181 Androvette AveStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Androvette Avenue;181 Androvette Ave, Staten Island, NY 10312, USA;40.5268622;-74.189752
Brokered by Serhant;Townhouse for sale;5990000;4;4.0;3750.0;96 Bank St;New York, NY 10014;96 Bank StNew York, NY 10014;United States;New York;New York County;New York;Bank Street;96 Bank St, New York, NY 10014, USA;40.7363228;-74.0064402
Brokered by TREBACH REALTY INC;Co-op for sale;1235000;3;2.0;2184.207862;2501 Palisade Ave Apt D2;Bronx, NY 10463;2501 Palisade Ave Apt D2Bronx, NY 10463;New York;Bronx County;The Bronx;Spuyten Duyvil;2501;2501 Palisade Ave Apt D2, Bronx, NY 10463, USA;40.8799728;-73.9221419
Brokered by City Connections Realty;Co-op for sale;785000;1;1.0;2184.207862;10 Park Ave Unit 10K;New York, NY 10016;10 Park Ave Unit 10KNew York, NY 10016;New York;New York County;New York;Manhattan;10;10 Park Ave #10c, New York, NY 10016, USA;40.7473555;-73.9813841
Brokered by Coldwell Banker Reliable Real Estate;Co-op for sale;750000;3;2.0;1750.0;870 Riverside Dr Apt 5D;New York, NY 10032;870 Riverside Dr Apt 5DNew York, NY 10032;New York;New York County;New York;Manhattan;870;870 Riverside Dr #5d, New York, NY 10032, USA;40.8368955;-73.9465033
Brokered by Modern Spaces Love Your Place;Multi-family home for sale;1400000;3;3.0;2184.207862;25-01 23rd Ave;Long Island City, NY 11105;25-01 23rd AveLong Island City, NY 11105;United States;New York;Queens County;Queens;23rd Avenue;25-01 23rd Ave, Astoria, NY 11105, USA;40.7770879;-73.9162687
Brokered by CENTURY 21 Kafcos Realty;Multi-family home for sale;865000;6;3.0;2464.0;910 Revere Ave;Bronx, NY 10465;910 Revere AveBronx, NY 10465;United States;New York;Bronx County;The Bronx;Revere Avenue;910 Revere Ave, Bronx, NY 10465, USA;40.8297242;-73.8263414
Brokered by COMPASS;Co-op for sale;324000;1;1.0;2184.207862;35-31 85th St Unit 7F;Queens, NY 11372;35-31 85th St Unit 7FQueens, NY 11372;United States;New York;Queens County;Queens;85th Street;35-31 85th St, Jackson Heights, NY 11372, USA;40.7512505;-73.8814433
Brokered by Matias Real Estate;House for sale;1100000;3;4.0;3750.0;7126 Amboy Rd;Staten Island, NY 10307;7126 Amboy RdStaten Island, NY 10307;United States;New York;Richmond County;Staten Island;Amboy Road;7126 Amboy Rd, Staten Island, NY 10307, USA;40.5136885;-74.2364803
Brokered by A P Services Inc;Multi-family home for sale;2295000;3;7.0;2184.207862;4415 Atlantic Ave;Brooklyn, NY 11224;4415 Atlantic AveBrooklyn, NY 11224;United States;New York;Kings County;Brooklyn;Atlantic Avenue;4415 Atlantic Ave, Brooklyn, NY 11224, USA;40.5757955;-74.009975
Brokered by Douglas Elliman - 575 Madison Ave;House for sale;8950000;4;2.0;2570.0;69 Orange St;Brooklyn, NY 11201;69 Orange StBrooklyn, NY 11201;United States;New York;Kings County;Brooklyn;Orange Street;69 Orange St, Brooklyn, NY 11201, USA;40.6990407;-73.9929045
Brokered by RE MAX Central;Multi-family home for sale;1348888;3;4.0;2450.0;252 Ionia Ave;Staten Island, NY 10312;252 Ionia AveStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Ionia Avenue;252 Ionia Ave, Staten Island, NY 10312, USA;40.5430335;-74.182131
Brokered by Robert E. Hill, Inc.;Co-op for sale;220000;2;1.0;850.0;5620 Netherland Ave Apt 3G;Bronx, NY 10471;5620 Netherland Ave Apt 3GBronx, NY 10471;New York;Bronx County;The Bronx;North Riverdale;5620;5620 Netherland Ave #3g, Bronx, NY 10471, USA;40.9049354;-73.9060897
Brokered by Brown Harris Stevens - 100 Seventh Avenue;Co-op for sale;185000;1;1.0;2184.207862;789 Macdonough St Apt 4G;Brooklyn, NY 11233;789 Macdonough St Apt 4GBrooklyn, NY 11233;New York;Kings County;Brooklyn;Ocean Hill;789;789 MacDonough St #4g, Brooklyn, NY 11233, USA;40.684563;-73.914482
Brokered by Houlihan Lawrence;House for sale;499000;2;2.0;1350.0;514 E 235th St;Bronx, NY 10470;514 E 235th StBronx, NY 10470;United States;New York;Bronx County;The Bronx;East 235th Street;514 E 235th St, Bronx, NY 10470, USA;40.8978428;-73.8633611
Brokered by ROBERT DEFALCO REALTY INC;Multi-family home for sale;999999;4;3.0;1980.0;362 90th St;Brooklyn, NY 11209;362 90th StBrooklyn, NY 11209;United States;New York;Kings County;Brooklyn;90th Street;362 90th St, Brooklyn, NY 11209, USA;40.620076;-74.0306109
Brokered by Corcoran East Side;Townhouse for sale;4995000;2;2.0;2000.0;51 Barrow St;New York, NY 10014;51 Barrow StNew York, NY 10014;United States;New York;New York County;New York;Barrow Street;51 Barrow St, New York, NY 10014, USA;40.7319679;-74.0043858
Brokered by Corcoran Park Avenue South;Pending;700000;2;1.0;2184.207862;248 E 7th St # 9/10;New York, NY 10009;248 E 7th St # 9/10New York, NY 10009;United States;New York;New York County;New York;East 7th Street;248 E 7th St, New York, NY 10009, USA;40.7235651;-73.9781799
Brokered by RE MAX 1st Choice;House for sale;1180000;4;4.0;1820.0;45-33 Zion St;Little Neck, NY 11362;45-33 Zion StLittle Neck, NY 11362;United States;New York;Queens County;Queens;Zion Street;45-33 Zion St, Flushing, NY 11362, USA;40.7668584;-73.7375575
Brokered by RE MAX 1st Choice;Condo for sale;609000;2;2.0;2184.207862;132-03 Sanford Ave Unit 3H;Flushing, NY 11355;132-03 Sanford Ave Unit 3HFlushing, NY 11355;New York;Queens County;Queens;Flushing;132-03;132-03 Sanford Ave #3b, Flushing, NY 11355, USA;40.7550154;-73.8329807
Brokered by AMERIHOMES REALTY OF NY, INC.;Co-op for sale;250000;2;1.0;950.0;2525 W 2nd St Apt 2E;Brooklyn, NY 11223;2525 W 2nd St Apt 2EBrooklyn, NY 11223;New York;Kings County;Brooklyn;Gravesend;2525;2525 W 2nd St #2e, Brooklyn, NY 11223, USA;40.5875717;-73.9712821
Brokered by Real Broker NY LLC;House for sale;689000;3;2.0;2184.207862;111-45 120th St;South Ozone Park, NY 11420;111-45 120th StSouth Ozone Park, NY 11420;United States;New York;Queens County;Queens;120th Street;111-45 120th St, Jamaica, NY 11420, USA;40.6794706;-73.8195636
Brokered by Jaymore Realty Llc;Multi-family home for sale;585000;4;2.0;2184.207862;12-86 Augustina Ave;Far Rockaway, NY 11691;12-86 Augustina AveFar Rockaway, NY 11691;United States;New York;Queens County;Queens;Augustina Avenue;12-86 Augustina Ave, Far Rockaway, NY 11691, USA;40.6082787;-73.7495095
Brokered by Robert Defalco Realty, Inc.;Condo for sale;109500;3;1.0;550.0;1000 Clove Rd Apt 9F;Staten Island, NY 10301;1000 Clove Rd Apt 9FStaten Island, NY 10301;New York;Richmond County;Staten Island;Castleton Corners;1000;1000 Clove Rd #9f, Staten Island, NY 10301, USA;40.6202645;-74.1099106
Brokered by Corcoran SoHo;Co-op for sale;299000;3;1.0;640.0;410 E 57th St Apt 8B;New York, NY 10022;410 E 57th St Apt 8BNew York, NY 10022;New York;New York County;New York;Manhattan;410;410 E 57th St #8b, New York, NY 10022, USA;40.7578323;-73.9624557
Brokered by Re/Max Central;House for sale;995000;3;2.0;1987.0;23 Howard Ave;Staten Island, NY 10301;23 Howard AveStaten Island, NY 10301;United States;New York;Richmond County;Staten Island;Howard Avenue;23 Howard Ave, Staten Island, NY 10301, USA;40.6293682;-74.0870368
Brokered by RE MAX Real Estate Professionals;Multi-family home for sale;1499000;6;2.0;3144.0;338 77th St;Brooklyn, NY 11209;338 77th StBrooklyn, NY 11209;United States;New York;Kings County;Brooklyn;77th Street;338 77th St, Brooklyn, NY 11209, USA;40.629498;-74.02725
Brokered by Douglas Elliman - Port Washington;Co-op for sale;299000;2;1.0;2184.207862;193-15 37 Ave Unit 177;Flushing, NY 11358;193-15 37 Ave Unit 177Flushing, NY 11358;New York;Queens County;Queens;Flushing;19315;19315 37th Ave # 177, Flushing, NY 11358, USA;40.7626299;-73.78916
Brokered by New Heights Realty;Co-op for sale;279000;3;1.0;550.0;57 Park Terrace Ter W Unit 3F;New York, NY 10034;57 Park Terrace Ter W Unit 3FNew York, NY 10034;New York;New York County;New York;Manhattan;57;57 Park Terrace W #3f, New York, NY 10034, USA;40.8712698;-73.9178529
Brokered by Joshuas Realty;House for sale;235000;3;2.0;2184.207862;131-16 115 Ave;South Ozone Park, NY 11420;131-16 115 AveSouth Ozone Park, NY 11420;United States;New York;Queens County;Queens;115th Avenue;131-16 115th Ave, Jamaica, NY 11420, USA;40.6797652;-73.8091668
Brokered by COMPASS;Co-op for sale;17900000;6;4.0;2184.207862;41 Central Park W Unit 11A;Manhattan, NY 10023;41 Central Park W Unit 11AManhattan, NY 10023;New York;New York County;New York;Manhattan;41;41 Central Park W #11a, New York, NY 10023, USA;40.7713789;-73.9798579
Brokered by COMPASS;Townhouse for sale;950000;5;3.0;2288.0;914 Pine St;Brooklyn, NY 11208;914 Pine StBrooklyn, NY 11208;United States;New York;Kings County;Brooklyn;Pine Street;914 Pine St, Brooklyn, NY 11208, USA;40.6626245;-73.8680207
Brokered by KELLER WILLIAMS REALTY LANDMARK II;House for sale;859000;2;2.0;950.0;149-47 26th Ave;Flushing, NY 11354;149-47 26th AveFlushing, NY 11354;United States;New York;Queens County;Queens;26th Avenue;149-47 26th Ave, Flushing, NY 11354, USA;40.7746518;-73.81583
Brokered by Compass Greater Ny, Llc;House for sale;1999000;5;4.0;2000.0;34-51 74th St;Queens, NY 11372;34-51 74th StQueens, NY 11372;United States;New York;Queens County;Queens;74th Street;34-51 74th Street, Jackson Heights, NY 11372, USA;40.7518706;-73.8922741
Brokered by Lombardo Homes & Estates;Multi-family home for sale;1458888;8;2.3738608579684373;2988.0;86-84 188th St;Hollis, NY 11423;86-84 188th StHollis, NY 11423;United States;New York;Queens County;Queens;188th Street;86-84 188th St, Jamaica, NY 11423, USA;40.718209;-73.775417
Brokered by Ha Jones Realty & Management;House for sale;650000;5;3.0;2184.207862;36A Rochester Ave;Brooklyn, NY 11233;36A Rochester AveBrooklyn, NY 11233;United States;New York;Kings County;Brooklyn;Rochester Avenue;36A Rochester Ave, Brooklyn, NY 11233, USA;40.677921;-73.9277691
Brokered by RE MAX Real Estate Professionals;House for sale;1100000;4;3.0;1400.0;7619 10th Ave;Brooklyn, NY 11228;7619 10th AveBrooklyn, NY 11228;United States;New York;Kings County;Brooklyn;10th Avenue;7619 10th Ave, Brooklyn, NY 11228, USA;40.6231568;-74.0148411
Brokered by E Realty International Corp;Condo for sale;478900;1;1.0;554.0;65-18 Austin St Unit 2C;Rego Park, NY 11374;65-18 Austin St Unit 2CRego Park, NY 11374;New York;Queens County;Queens;Rego Park;65-18;65-18 Austin St #2c, Rego Park, NY 11374, USA;40.7259759;-73.8599803
Brokered by CLAS - Classic Marketing, LLC;Condo for sale;2795000;2;2.0;965.0;25 Fifth Ave Unit 5B;New York, NY 10003;25 Fifth Ave Unit 5BNew York, NY 10003;10003;United States;New York;New York County;Manhattan;5th Ave, New York, NY 10003, USA;40.735321;-73.9941315
